side,bucket,trades,win_rate,avg_pips_per_trade,avg_r,profit_factor
BUY,00-05%,215,0.6604651162790698,-1.0927364341084596,-0.04509531232523438,0.6097402291786325
BUY,05-10%,201,0.8109452736318408,-3.2345439469321264,-0.08397192804039882,0.6172798323466436
BUY,10-15%,231,0.7359307359307359,-1.2223593073592514,-0.07274852504397512,0.8936223917961592
BUY,15-20%,267,0.6479400749063671,-5.869194756554444,-0.08170577427394839,0.6904853998199288
BUY,20-25%,274,0.5364963503649635,-3.4163868613139172,-0.11414389639527342,0.8364276864955708
BUY,25-30%,203,0.49261083743842365,-2.703440065681402,-0.06572664021181855,0.8676424421747917
BUY,30-35%,96,0.5104166666666666,6.359965277777647,0.14226463282915577,1.4057906478533662
SELL,00-05%,235,0.6680851063829787,-2.791709219858155,-0.044571993290353,0.3725106047877358
SELL,05-10%,238,0.8361344537815126,-1.6696918767506543,-0.05553656778479923,0.7772479614944882
SELL,10-15%,248,0.8306451612903226,2.619428763440788,0.044506230874993995,1.340147256845986
SELL,15-20%,269,0.7397769516728625,2.2457806691450077,0.05013785432371017,1.2019426032822824
SELL,20-25%,350,0.6142857142857143,1.3678619047620861,0.0047865264973878325,1.0807985825629358
SELL,25-30%,336,0.5119047619047619,-1.1572966269842777,-0.014606908137883946,0.9357289625578862
SELL,30-35%,169,0.47928994082840237,0.8569625246548408,0.08118541860621531,1.0529916990079307
