scale,tp_atr,sl_atr,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,win_rate_excl_time_exit,total_pips,cal_ppd
0.67,0.67,0.527559,1793,2345,2235,2948,3425,665,0.433301,953.7198,0.1355
0.61,0.61,0.480315,1925,2488,1960,2948,3425,665,0.436211,435.3374,0.0619
0.55,0.55,0.433071,2035,2602,1736,2948,3425,665,0.438861,36.3572,0.0052
0.58,0.58,0.456693,1977,2556,1840,2948,3425,665,0.436135,-56.5112,-0.008
0.64,0.64,0.503937,1851,2418,2104,2948,3425,665,0.433591,-153.0651,-0.0217
0.76,0.76,0.598425,1592,2163,2618,2948,3425,665,0.423968,-481.5981,-0.0684
0.7,0.7,0.551181,1717,2297,2359,2948,3425,665,0.427753,-539.4899,-0.0767
0.82,0.82,0.645669,1441,2014,2918,2948,3425,665,0.417077,-554.0409,-0.0787
1.0,1.0,0.787402,1055,1608,3710,2948,3425,665,0.39617,-860.2384,-0.1222
0.97,0.97,0.76378,1112,1670,3591,2948,3425,665,0.399712,-977.917,-0.1389
0.73,0.73,0.574803,1652,2238,2483,2948,3425,665,0.424679,-1244.277,-0.1768
0.94,0.94,0.740157,1169,1744,3460,2948,3425,665,0.401304,-1440.1087,-0.2046
0.85,0.85,0.669291,1367,1960,3046,2948,3425,665,0.410881,-1568.0903,-0.2228
0.79,0.79,0.622047,1504,2100,2769,2948,3425,665,0.417314,-1719.2904,-0.2443
0.91,0.91,0.716535,1233,1812,3328,2948,3425,665,0.404926,-1869.1654,-0.2656
0.88,0.88,0.692913,1300,1880,3193,2948,3425,665,0.408805,-2068.4016,-0.2939
