scale,tp_atr,sl_atr,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,skipped_no_real_pivot_touch,win_rate_excl_time_exit,total_pips,cal_ppd
0.97,0.97,0.76378,800,1127,2302,2948,3425,665,2137,0.415153,4573.7778,0.6499
0.94,0.94,0.740157,842,1179,2208,2948,3425,665,2137,0.416625,4284.6719,0.6088
1.0,1.0,0.787402,747,1080,2402,2948,3425,665,2137,0.408867,3219.5612,0.4575
0.91,0.91,0.716535,874,1238,2117,2948,3425,665,2137,0.413826,2631.6021,0.3739
0.88,0.88,0.692913,917,1302,2010,2948,3425,665,2137,0.413249,1536.3634,0.2183
0.85,0.85,0.669291,969,1369,1891,2948,3425,665,2137,0.414457,530.9772,0.0754
0.82,0.82,0.645669,1011,1412,1806,2948,3425,665,2137,0.417251,457.5697,0.065
0.67,0.67,0.527559,1275,1687,1267,2948,3425,665,2137,0.430452,169.8287,0.0241
0.73,0.73,0.574803,1164,1579,1486,2948,3425,665,2137,0.424353,44.9981,0.0064
0.79,0.79,0.622047,1052,1468,1709,2948,3425,665,2137,0.41746,-386.5311,-0.0549
0.64,0.64,0.503937,1317,1752,1160,2948,3425,665,2137,0.42913,-507.329,-0.0721
0.76,0.76,0.598425,1103,1533,1593,2948,3425,665,2137,0.418437,-697.2181,-0.0991
0.55,0.55,0.433071,1503,1935,791,2948,3425,665,2137,0.437173,-853.6372,-0.1213
0.7,0.7,0.551181,1214,1647,1368,2948,3425,665,2137,0.424327,-869.214,-0.1235
0.58,0.58,0.456693,1439,1886,904,2948,3425,665,2137,0.432782,-1315.4528,-0.1869
0.61,0.61,0.480315,1370,1816,1043,2948,3425,665,2137,0.430006,-1324.8114,-0.1882
