entry_time,initial_entries,reentry_pairs,total_legs_closed,total_pips,cal_ppd,buy_cal_ppd,sell_cal_ppd
14:00,2919,1627,9092,988.5638,0.3383,0.8272,-0.4888
13:00,2919,1597,9032,-490.0458,-0.1677,0.5314,-0.6991
01:00,2919,1552,8942,-1256.2877,-0.4299,0.229,-0.659
15:00,2919,1512,8862,-2357.4684,-0.8068,0.5467,-1.3535
02:00,2919,1502,8842,-2551.6868,-0.8733,-0.2344,-0.6388
08:00,2919,1473,8784,-2688.1788,-0.92,0.3095,-1.2294
03:00,2919,1451,8740,-3105.7204,-1.0629,0.2186,-1.2815
12:00,2919,1473,8784,-3578.3851,-1.2246,0.1585,-1.3831
07:00,2919,1420,8678,-3700.8026,-1.2665,0.4555,-1.722
10:00,2919,1434,8706,-3955.0258,-1.3535,0.2973,-1.6508
00:00,2918,1442,8720,-4194.0413,-1.4353,-0.3699,-1.0655
09:00,2919,1435,8708,-4428.5276,-1.5156,0.2113,-1.7269
11:00,2919,1412,8662,-5455.7881,-1.8671,0.1528,-2.0199
16:00,2919,1359,8556,-5747.8362,-1.9671,-0.0072,-1.9599
04:00,2919,1335,8508,-6222.6584,-2.1296,-0.331,-1.7986
06:00,2919,1359,8556,-6226.7785,-2.131,-0.183,-1.948
22:00,2919,1340,8518,-6689.83,-2.2895,-0.164,-2.1254
05:00,2919,1325,8488,-6754.6866,-2.3117,-0.3486,-1.9631
23:00,2919,1341,8520,-7027.1259,-2.4049,-0.73,-1.6749
17:00,2919,1296,8430,-7033.0714,-2.4069,-0.2989,-2.108
18:00,2919,1300,8438,-7097.7559,-2.4291,-0.4069,-2.0222
21:00,2919,1239,8316,-8426.2791,-2.8837,-0.8047,-2.079
19:00,2919,1232,8302,-8883.3985,-3.0402,-0.8583,-2.1819
20:00,2919,1213,8264,-9031.5616,-3.0909,-0.7632,-2.3277
