days,entries,buys,sells,no_entry_days,ambiguous_days,blocked_under55_before_entry,wins,losses,dataset_end_exits,win_rate,total_pips,cal_ppd,avg_pips_per_trade,tp_norm
3939,2965,1332,1633,974,26,35,1665,1300,0,0.561551,-4232.7467,-1.0746,-1.4276,0.0
3939,2965,1332,1633,974,26,35,1535,1430,0,0.517707,-3325.5967,-0.8443,-1.1216,0.05
3939,2965,1332,1633,974,26,35,1414,1551,0,0.476897,-3414.5117,-0.8668,-1.1516,0.1
3939,2965,1332,1633,974,26,35,1321,1644,0,0.445531,-2704.5567,-0.6866,-0.9122,0.15
3939,2965,1332,1633,974,26,35,1242,1723,0,0.418887,-2744.6617,-0.6968,-0.9257,0.2
3939,2965,1332,1633,974,26,35,1164,1801,0,0.39258,-2690.8767,-0.6831,-0.9075,0.25
3939,2965,1332,1633,974,26,35,1091,1874,0,0.36796,-3492.0017,-0.8865,-1.1777,0.3
3939,2965,1332,1633,974,26,35,1030,1935,0,0.347386,-4518.1567,-1.147,-1.5238,0.35
3939,2965,1332,1633,974,26,35,987,1978,0,0.332884,-2903.8267,-0.7372,-0.9794,0.4
3939,2965,1332,1633,974,26,35,947,2018,0,0.319393,-1559.9367,-0.396,-0.5261,0.45
3939,2965,1332,1633,974,26,35,896,2069,0,0.302192,-2506.3867,-0.6363,-0.8453,0.5
3939,2965,1332,1633,974,26,35,855,2110,0,0.288364,-2311.0467,-0.5867,-0.7794,0.55
3939,2965,1332,1633,974,26,35,822,2143,0,0.277234,-2008.1767,-0.5098,-0.6773,0.6
3939,2965,1332,1633,974,26,35,791,2174,0,0.266779,-1611.9967,-0.4092,-0.5437,0.65
3939,2965,1332,1633,974,26,35,764,2201,0,0.257673,-1597.1367,-0.4055,-0.5387,0.7
3939,2965,1332,1633,974,26,35,731,2234,0,0.246543,-2254.7167,-0.5724,-0.7604,0.75
3939,2965,1332,1633,974,26,35,705,2260,0,0.237774,-2416.0717,-0.6134,-0.8149,0.8
