run,trades,wins,losses,win_rate,total_pips,cal_ppd,tp_exits,sl_exits
0,5939,2637,3302,0.444,1587.86,0.1928,2637,3300
1,5939,2612,3327,0.4398,-3516.84,-0.427,2612,3325
2,5939,2662,3277,0.4482,3419.51,0.4151,2662,3275
3,5939,2634,3305,0.4435,-1549.22,-0.1881,2632,3305
4,5939,2575,3364,0.4336,-13003.12,-1.5786,2574,3363
5,5939,2630,3309,0.4428,2911.59,0.3535,2629,3308
6,5939,2576,3363,0.4337,-3912.06,-0.4749,2576,3361
7,5939,2659,3280,0.4477,3703.33,0.4496,2659,3278
8,5939,2568,3371,0.4324,-8248.1,-1.0013,2567,3370
9,5939,2664,3275,0.4486,7916.04,0.961,2663,3274
10,5939,2623,3316,0.4417,174.95,0.0212,2622,3315
11,5939,2616,3323,0.4405,-323.68,-0.0393,2615,3322
12,5939,2615,3324,0.4403,-3910.5,-0.4747,2613,3324
13,5939,2649,3290,0.446,7604.3,0.9232,2649,3288
14,5939,2652,3287,0.4465,3154.91,0.383,2651,3286
15,5939,2572,3367,0.4331,-9749.85,-1.1837,2572,3365
16,5939,2685,3254,0.4521,5801.09,0.7043,2684,3253
17,5939,2574,3365,0.4334,-8273.66,-1.0045,2574,3363
18,5939,2581,3358,0.4346,-6592.41,-0.8003,2579,3358
19,5939,2672,3267,0.4499,9311.36,1.1304,2672,3265
